,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,Seymchan,89,RU,1575420279,93,62.93,152.39,-29.83,7.99
142,Ghanzi,100,BW,1575420280,82,-21.7,21.65,68.56,18.66
143,Klin,90,RU,1575420281,86,56.34,36.74,26.6,13.42
144,Klamath Falls,1,US,1575420283,86,42.22,-121.78,41.0,10.29
145,Nyrob,100,RU,1575420284,92,60.74,56.73,16.97,10.13
146,Hospet,55,IN,1575420288,94,15.27,76.4,66.42,6.69
147,Chumikan,100,RU,1575420033,74,54.72,135.31,-0.45,13.51
148,Roebourne,0,AU,1575420290,9,-20.77,117.15,99.7,15.5
149,Airai,67,TL,1575419718,54,-8.93,125.41,78.35,3.67
150,Moa,67,CU,1575420292,87,20.66,-74.95,68.81,1.57
151,Kavaratti,96,IN,1575420292,75,10.57,72.64,83.64,15.21
152,Gezing,20,AT,1575420295,86,47.92,13.13,28.0,3.36
153,Prudentopolis,22,BR,1575420296,97,-25.21,-50.98,65.79,1.3
154,Mount Isa,68,AU,1575420297,13,-20.73,139.49,89.6,13.87
155,Tura,99,RU,1575420298,92,64.27,100.22,-16.78,6.15
156,North Bend,1,US,1575420220,76,43.41,-124.22,55.99,2.17
157,Mayuge,98,UG,1575420300,94,0.46,33.48,65.16,4.05
158,Padang,91,ID,1575420301,92,-0.92,100.36,69.3,3.44
159,Lata,38,IN,1575420303,6,30.78,78.62,23.76,8.03
160,Port Hedland,12,AU,1575420304,17,-20.31,118.58,93.2,3.36
161,Santa Cruz,36,BR,1575420305,90,-6.22,-36.02,71.28,4.7
162,Hermanus,50,ZA,1575420306,52,-34.42,19.24,57.99,10.0
163,Torbay,90,CA,1575420307,100,47.66,-52.73,37.99,6.93
164,Flinders,0,AU,1575420308,15,-34.58,150.85,82.0,18.34
165,Davila,90,PH,1575420309,88,18.47,120.58,75.2,19.46
166,Port Blair,40,IN,1575420310,74,11.67,92.75,82.4,11.41
167,Bambous Virieux,40,MU,1575420312,78,-20.34,57.76,75.99,10.29
168,Dobryanka,75,RU,1575420313,85,58.45,56.42,17.6,8.95
169,Gejiu,100,CN,1575420314,94,23.36,103.16,45.39,3.98
170,Batagay-Alyta,0,RU,1575420315,88,67.8,130.41,-31.99,0.76
171,Souillac,0,FR,1575420316,86,45.6,-0.6,37.0,4.7
172,Lebu,40,ET,1575420317,62,8.96,38.73,57.2,4.7
173,Luwuk,100,ID,1575420229,70,-0.95,122.79,81.93,1.99
174,Blagoyevo,100,RU,1575420320,93,63.37,47.92,22.46,10.98
175,Poum,100,MK,1575420321,96,41.28,20.71,29.16,6.78
176,Ocean City,20,US,1575420220,66,30.44,-86.61,51.01,6.93
177,Dunedin,100,NZ,1575420323,70,-45.87,170.5,59.74,13.31
178,Adrar,0,DZ,1575420042,46,27.87,-0.29,51.8,8.05
179,Isla Vista,90,US,1575420232,48,34.41,-119.86,64.4,9.17
180,Inhambane,0,MZ,1575420326,86,-23.87,35.38,79.56,16.26
181,Gigmoto,93,PH,1575420327,80,13.78,124.39,82.78,19.22
182,Cubulco,40,GT,1575420328,64,15.11,-90.63,68.0,13.87
183,Guerrero Negro,56,MX,1575420329,43,27.97,-114.04,68.43,9.42
184,Maniitsoq,100,GL,1575420330,87,65.42,-52.9,16.81,14.0
185,Tessalit,15,ML,1575419790,18,20.2,1.01,66.94,5.7
186,Los Llanos de Aridane,13,ES,1575419952,63,28.66,-17.92,64.4,6.93
187,Kununurra,0,AU,1575419766,55,-15.77,128.74,91.4,3.36
188,Mezen,97,RU,1575420335,96,65.85,44.24,17.31,7.58
189,Togur,97,RU,1575420336,96,58.36,82.83,15.35,5.44
190,George Town,20,MY,1575420110,78,5.42,100.33,78.8,4.94
191,Nikolskoye,97,RU,1575420338,87,59.7,30.79,32.0,15.66
192,Port-Gentil,100,GA,1575420339,79,-0.72,8.78,80.4,6.91
193,Ambilobe,60,MG,1575420340,73,-13.19,49.05,77.92,9.78
194,Donskoye,90,RU,1575420341,92,45.45,41.98,28.4,11.18
195,Kysyl-Syr,21,RU,1575420109,98,63.9,122.77,-39.12,5.26
196,Cayenne,20,GF,1575420344,88,4.94,-52.33,78.8,3.36
197,Chibombo,14,ZM,1575420345,76,-14.68,28.09,66.79,3.44
198,Boa Vista,86,BR,1575420346,66,2.82,-60.67,84.2,4.7
199,Issaquah,90,US,1575420347,62,47.53,-122.04,51.8,6.93
200,Lorengau,100,PG,1575419776,72,-2.02,147.27,84.06,6.04
201,Alice Springs,0,AU,1575419873,16,-23.7,133.88,84.2,12.75
202,Auchi,98,NG,1575420350,58,7.07,6.27,77.54,4.45
203,Hervey Bay,0,AU,1575420112,13,-25.3,152.85,95.0,6.93
204,Iquitos,40,PE,1575420284,83,-3.75,-73.25,78.8,4.7
205,Hobyo,88,SO,1575420100,76,5.35,48.53,77.13,8.3
206,Sungaipenuh,100,ID,1575420117,97,-2.08,101.38,64.22,2.68
207,Luderitz,3,NA,1575420109,63,-26.65,15.16,60.8,12.75
208,Khor,100,RU,1575420357,91,47.88,134.96,0.23,16.2
209,Lompoc,75,US,1575420347,39,34.64,-120.46,64.4,3.36
210,Taoudenni,0,ML,1575420008,38,22.68,-3.98,63.14,9.04
211,Madingou,99,CG,1575420360,97,-4.17,13.56,71.28,1.45
212,Stephenville,90,CA,1575420361,87,48.55,-58.59,35.6,13.87
213,Lebyazhye,100,RU,1575420362,80,59.96,29.42,32.0,15.66
214,Virginia Beach,1,US,1575420364,80,36.85,-75.98,46.99,3.36
215,Constitucion,5,MX,1575420365,8,23.99,-104.67,75.2,5.82
216,Smithers,90,CA,1575420300,100,54.78,-127.17,28.4,3.36
217,Paraopeba,75,BR,1575420367,83,-19.28,-44.4,69.8,9.17
218,Pidhorodne,75,UA,1575420368,92,48.57,35.1,28.4,13.42
219,Xining,0,CN,1575420369,65,36.62,101.77,8.64,5.21
220,Matara,100,BI,1575420370,97,-3.48,29.48,59.07,0.29
221,Dubbo,0,AU,1575420371,22,-32.25,148.6,77.0,17.22
222,Hickory,1,US,1575420301,73,35.73,-81.34,46.4,4.7
223,Ilulissat,75,GL,1575420373,72,69.22,-51.1,12.2,25.28
224,Atar,0,MR,1575420375,41,20.52,-13.05,63.73,8.28
225,Hede,94,SE,1575420376,81,60.45,15.49,33.8,3.94
226,Nemuro,20,JP,1575420377,32,43.32,145.57,26.6,25.28
227,Coquimbo,100,CL,1575420378,82,-29.95,-71.34,59.0,11.41
228,La Palma,98,CO,1575420379,96,5.36,-74.39,70.48,1.99
229,Coahuayana,0,MX,1575420380,56,18.62,-100.35,77.88,0.54
230,Xiongyue,0,CN,1575420381,45,40.18,122.12,24.67,4.52
231,Nome,1,US,1575420383,77,30.04,-94.42,62.01,5.82
232,Saskylakh,0,RU,1575420384,98,71.97,114.09,-35.45,6.13
233,Fortuna,1,US,1575420385,82,40.6,-124.16,57.99,9.17
234,Emba,40,CY,1575420386,66,34.81,32.42,55.4,6.93
235,Turukhansk,100,RU,1575420387,94,65.8,87.96,3.45,13.06
236,Mandalgovi,0,MN,1575420388,59,45.76,106.27,9.91,3.6
237,Plettenberg Bay,77,ZA,1575420389,69,-34.05,23.37,56.66,4.59
238,Mount Gambier,75,AU,1575420030,76,-37.83,140.78,57.2,17.22
239,Pangnirtung,100,CA,1575420391,100,66.15,-65.72,-10.77,6.69
240,Gayeri,0,BF,1575420392,17,12.65,0.49,74.86,7.0
241,Meulaboh,88,ID,1575420394,80,4.14,96.13,79.68,1.52
242,Puerto Narino,63,CO,1575420395,88,-3.77,-70.38,80.6,3.36
243,Paita,90,PE,1575420396,82,-5.09,-81.11,69.62,12.39
244,Armidale,0,AU,1575420397,9,-30.51,151.67,70.0,5.01
245,Asopos,18,GR,1575420398,74,36.73,22.85,61.77,8.43
246,Codrington,0,AU,1575420399,16,-28.95,153.24,89.01,4.7
247,Novoagansk,81,RU,1575420401,96,61.94,76.66,2.14,9.95
248,Tiksi,29,RU,1575420402,98,71.64,128.87,-32.21,0.27
249,San Patricio,22,PY,1575420403,41,-26.98,-56.83,75.25,4.59
250,Raudeberg,98,NO,1575420404,87,61.99,5.14,48.2,17.22
251,Potiskum,100,NG,1575420405,24,11.71,11.08,68.99,8.14
252,Semirom,100,IR,1575420406,91,31.41,51.57,31.84,3.78
253,Bowen,36,AU,1575420407,46,-20.01,148.25,93.2,12.75
254,Norman Wells,90,CA,1575419870,76,65.28,-126.83,-4.0,10.29
255,Gazanjyk,100,TM,1575420409,77,39.24,55.52,47.37,4.0
256,Melbourne,90,AU,1575420386,51,-37.81,144.96,63.0,17.22
257,Namatanai,61,PG,1575419960,70,-3.66,152.44,84.87,6.76
258,Marawi,100,PH,1575420413,72,8.0,124.29,82.0,1.99
259,Longyearbyen,1,NO,1575420414,62,78.22,15.63,21.2,11.41
260,Arklow,75,IE,1575420415,75,52.79,-6.14,46.4,9.17
261,Clyde River,90,CA,1575420416,76,70.47,-68.59,-4.0,4.7
262,Omboue,72,GA,1575420417,96,-1.57,9.26,73.85,0.81
263,Aktau,90,KZ,1575420418,83,43.65,51.16,35.6,8.95
264,Sao Joao da Barra,99,BR,1575420419,75,-21.64,-41.05,72.54,9.48
265,Vila Franca do Campo,75,PT,1575420412,72,37.72,-25.43,60.8,13.87
266,Antalaha,97,MG,1575420050,75,-14.9,50.28,81.1,15.7
267,Cam Ranh,20,VN,1575420423,69,11.92,109.15,77.0,16.11
268,Bihoro,40,JP,1575420424,29,43.75,144.14,26.6,16.11
269,Kiunga,100,PG,1575420425,89,-6.12,141.3,77.04,5.93
270,Taksimo,0,RU,1575420095,84,56.36,114.84,-35.59,0.72
271,Hamilton,90,CA,1575420385,100,43.26,-79.87,33.01,6.93
272,Vangaindrano,45,MG,1575420428,91,-23.35,47.6,72.68,3.74
273,Zakamensk,0,RU,1575420430,88,50.38,103.29,-2.25,2.62
274,Wanaka,100,NZ,1575420431,88,-44.7,169.14,48.0,1.01
275,Zabid,22,YE,1575420432,47,14.2,44.5,56.91,3.69
276,Bilma,42,NE,1575420433,22,18.69,12.92,65.66,6.06
277,Pangai,75,TO,1575420434,88,-19.8,-174.35,77.0,11.41
278,Koundara,100,GN,1575420435,17,12.49,-13.3,77.11,3.89
279,Ballitoville,90,ZA,1575420436,87,-29.54,31.21,60.8,11.41
280,Galesong,40,ID,1575420437,88,-5.32,119.37,80.6,4.7
281,Road Town,24,VG,1575420179,88,18.42,-64.62,80.6,2.24
282,Chokurdakh,79,RU,1575420439,99,70.62,147.9,-20.0,3.09
283,Faanui,75,PF,1575420440,71,-16.48,-151.75,83.14,7.65
284,Timra,100,SE,1575420441,100,62.49,17.33,44.01,4.7
285,Hilo,90,US,1575420443,78,19.71,-155.08,75.99,10.29
286,Longview,1,US,1575420444,66,32.5,-94.74,59.0,4.36
287,Timizart,9,DZ,1575420445,59,36.8,4.25,63.05,5.93
288,Kuytun,46,RU,1575420446,96,54.34,101.51,0.18,5.57
289,Ust-Ishim,17,RU,1575420447,95,57.69,71.17,10.06,4.94
290,Lalmohan,34,BD,1575420448,76,22.34,90.74,63.81,5.91
291,Leningradskiy,100,RU,1575420449,87,69.38,178.42,18.37,17.34
292,Vao,99,EE,1575420450,93,59.1,26.19,33.66,8.63
293,Nakamura,40,JP,1575420452,75,35.17,136.87,51.8,3.36
294,Westport,1,US,1575420061,64,41.14,-73.36,35.6,8.05
295,Nyaunglebin,100,MM,1575420454,82,17.95,96.73,71.73,2.77
296,Salalah,100,OM,1575420455,57,17.01,54.1,77.0,17.22
297,Comodoro Rivadavia,63,AR,1575420351,87,-45.87,-67.48,51.8,3.36
298,Teya,5,MX,1575420457,69,21.05,-89.07,73.99,4.7
299,Gao,0,ML,1575420189,14,16.28,-0.04,73.22,5.91
300,Ljubuski,0,BA,1575420302,59,43.2,17.55,37.4,3.36
301,Pizarro,99,CO,1575420460,79,4.95,-77.37,80.11,3.65
302,Samarai,82,PG,1575420461,62,-10.62,150.67,85.3,6.4
303,Katsuura,20,JP,1575420462,61,33.93,134.5,48.2,8.05
304,Pisco,75,PE,1575420464,88,-13.71,-76.2,68.0,8.05
305,Rio Grande,82,BR,1575420278,74,-32.03,-52.1,66.99,3.0
306,San Miguel Ixtahuacan,49,GT,1575420466,69,15.25,-91.75,54.0,4.0
307,Dicabisagan,100,PH,1575420467,87,17.08,122.42,79.18,13.85
308,Barcelos,100,BR,1575420290,89,-0.97,-62.93,76.37,1.5
309,Atkinson,1,US,1575420469,80,41.42,-90.02,41.0,9.17
310,Cairns,100,AU,1575420470,59,-16.92,145.77,89.6,9.17
311,Majene,95,ID,1575420471,71,-3.54,118.97,82.72,3.36
312,Christchurch,35,NZ,1575420343,29,-43.53,172.64,78.8,16.11
313,Iranshahr,0,IR,1575420473,37,27.21,60.69,55.4,6.93
314,Ulladulla,0,AU,1575420475,15,-35.36,150.48,78.8,18.34
315,Vostok,100,RU,1575420476,92,46.45,135.83,-10.66,6.82
316,Kungurtug,12,RU,1575420477,77,50.6,97.53,-2.0,2.46
317,Mabay,40,CU,1575420478,83,20.35,-76.78,73.4,10.29
318,Tiarei,20,PF,1575420479,66,-17.53,-149.33,87.8,10.29
319,Shangrao,11,CN,1575420480,54,28.45,117.97,40.98,2.95
320,Mossendjo,95,CG,1575420481,98,-2.95,12.72,70.03,1.43
321,El Carmen,40,AR,1575420483,88,-24.39,-65.26,69.8,6.93
322,Noyabrsk,66,RU,1575420484,97,63.2,75.45,-0.08,12.95
323,Mwense,100,ZM,1575420485,97,-10.39,28.7,66.56,3.27
324,Klaksvik,99,FO,1575420486,93,62.23,-6.59,48.2,23.04
325,Grindavik,40,IS,1575420043,74,63.84,-22.43,37.4,16.11
326,Santiago,100,PH,1575420235,99,16.69,121.54,71.49,5.73
327,Yulara,0,AU,1575420489,13,-25.24,130.99,86.0,16.11
328,Port Lincoln,0,AU,1575420075,49,-34.72,135.86,66.9,4.34
329,Saint Lawrence,75,MT,1575420491,100,36.06,14.2,62.01,5.82
330,Ketchikan,90,US,1575420493,86,55.34,-131.65,39.2,3.67
331,Hirara,75,JP,1575419947,64,24.8,125.28,68.0,16.11
332,Kovdor,100,RU,1575420495,89,67.56,30.47,16.79,3.91
333,Bathsheba,40,BB,1575420496,74,13.22,-59.52,82.4,16.11
334,Ambanja,87,MG,1575420497,86,-13.68,48.45,77.43,4.03
335,Charlottesville,1,US,1575420265,73,38.03,-78.48,39.99,4.7
336,Providencia,99,CO,1575420499,95,1.24,-77.6,49.77,4.76
337,Sikeston,1,US,1575420362,86,36.88,-89.59,44.01,4.7
338,Mahibadhoo,47,MV,1575420501,77,3.78,72.97,82.67,7.56
339,Yar-Sale,85,RU,1575420031,96,66.83,70.83,4.19,10.22
340,Udachnyy,75,RU,1575420504,75,66.42,112.4,-18.4,4.47
341,Zhigansk,17,RU,1575420011,96,66.77,123.37,-36.31,6.8
342,Buala,77,SB,1575420506,75,-8.15,159.59,84.07,7.02
343,Allapalli,92,IN,1575420507,85,19.43,80.06,61.11,2.04
344,Karratha,0,AU,1575420508,61,-20.74,116.85,85.71,0.27
345,Tabou,65,CI,1575420509,92,4.42,-7.36,76.19,3.44
346,Chazuta,40,PE,1575420510,100,-6.57,-76.13,62.6,3.36
347,Mahajanga,20,MG,1575420511,65,-15.72,46.32,80.6,5.82
348,Kamyshevatskaya,96,RU,1575420513,76,46.41,37.96,34.88,11.1
349,Huarmey,96,PE,1575420514,77,-10.07,-78.15,66.58,4.76
350,Council Bluffs,1,US,1575420515,83,41.26,-95.86,46.4,10.29
351,Oranjestad,20,AW,1575420414,79,12.52,-70.03,84.2,19.46
352,Ejido,85,VE,1575420517,94,8.55,-71.24,47.82,3.8
353,Doka,1,SD,1575420518,33,13.52,35.76,72.57,6.08
354,Aripuana,8,BR,1575420519,73,-9.17,-60.63,78.39,1.68
355,Henties Bay,82,NA,1575420520,87,-22.12,14.28,57.99,4.0
356,Nanortalik,100,GL,1575420522,64,60.14,-45.24,27.03,32.91
357,Sicuani,97,PE,1575420523,97,-14.27,-71.23,35.65,4.25
358,Leon,1,US,1575420524,73,40.74,-93.75,42.8,10.29
359,Waingapu,91,ID,1575420525,71,-9.65,120.26,84.83,8.48
360,Rawson,99,AR,1575420526,82,-43.3,-65.11,51.15,35.3
361,Divnomorskoye,100,RU,1575420527,67,44.5,38.13,40.8,11.05
362,Provideniya,90,RU,1575420528,85,64.42,-173.23,23.0,8.95
363,Grand Gaube,40,MU,1575420044,78,-20.01,57.66,75.99,10.29
364,Loikaw,45,MM,1575420530,96,19.67,97.21,56.61,2.01
365,Rahatgarh,5,IN,1575420532,41,23.79,78.42,54.32,3.58
366,Kamenka,0,MD,1575420533,76,48.03,28.7,28.0,6.44
367,La Libertad,37,PE,1575420534,44,-16.38,-71.56,59.0,8.05
368,Genhe,79,CN,1575420535,97,50.78,121.52,-27.18,3.76
369,Sharjah,0,AE,1575420536,73,25.36,55.39,69.8,4.7
370,Kruisfontein,58,ZA,1575420040,72,-34.0,24.73,52.68,7.56
371,Tevaitoa,72,PF,1575420538,71,-16.78,-151.5,82.8,7.96
372,Sept-Iles,75,CA,1575419966,45,50.2,-66.38,26.6,8.05
